date,gross_ret,net_ret,turnover,longs,shorts,source,rationale
2025-04-03,-0.023125750515469473,-0.025183475069984012,1.0288622772572689,CVX|MMM|JNJ|IBM|AMGN,NVDA|WMT|CRM|HD|MRK,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-04,-0.006172695921761536,-0.007767326642904301,0.7973153605713822,CVX|MMM|JNJ|IBM|V,MRK|AMZN|CRM|MSFT|NKE,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-07,0.006479621943297466,0.0055055442498000325,0.4870388467487165,CVX|MMM|JNJ|IBM|TRV,NKE|MSFT|NVDA|CRM|AMZN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-08,-0.03646789343958892,-0.03758957093471202,0.5608387475615478,CVX|MMM|IBM|AMGN|CSCO,MSFT|NVDA|MRK|AMZN|CRM,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-09,0.00919670629203747,0.008356688548803138,0.42000887161716566,IBM|CVX|AMGN|MMM|TRV,AXP|MSFT|CRM|AMZN|NVDA,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-10,0.0033295669026467047,0.00198181025202266,0.6738783253120222,IBM|JNJ|AMGN|VZ|TRV,AXP|CRM|NVDA|NKE|AMZN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-11,0.015316313912913083,0.014464466489223766,0.4259237118446588,JNJ|AMGN|IBM|VZ|KO,CRM|AXP|BA|NVDA|AMZN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-14,0.0038323301358068715,0.002908270325176564,0.4620299053151536,IBM|JNJ|AMGN|VZ|KO,BA|CAT|AXP|AAPL|NVDA,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-15,0.01937709439008212,0.018096902250440076,0.6400960698210213,JNJ|AMGN|UNH|MCD|KO,CAT|DOW|AAPL|NVDA|AXP,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-16,-0.019696560775173663,-0.0221243255066082,1.2138823657172682,AMGN|MMM|IBM|CSCO|V,GS|HD|AXP|CAT|AAPL,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-17,-0.0034926567857826475,-0.0052502354326972355,0.8787893234572939,AMGN|IBM|MCD|V|VZ,AXP|GS|CAT|NKE|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-21,-0.008011003403455137,-0.008787374939520311,0.38818576803258736,AMGN|V|IBM|VZ|PG,DIS|CAT|GS|DOW|NKE,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-22,-0.014139528889557839,-0.014598918568982768,0.22969483971246443,AMGN|VZ|IBM|PG|JNJ,DIS|CAT|GS|DOW|NKE,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-23,-0.045858912821562126,-0.04640216381144759,0.27162549494273375,AMGN|VZ|JNJ|IBM|PG,GS|CAT|NKE|AMZN|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
